popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
38,229386,0,0.626,0.402,5,-9.772,0,0.0716,0.675,1.03e-06,0.14,0.557,144.035,4,j-pop
38,162801,0,0.475,0.289,0,-9.519,0,0.0393,0.926,1.09e-06,0.121,0.669,91.664,4,j-pop
40,241866,0,0.371,0.538,8,-8.458,1,0.0313,0.244,0.0001,0.674,0.222,91.423,4,j-pop
39,195186,0,0.458,0.655,4,-6.856,0,0.0318,0.516,0,0.203,0.38,80.174,4,j-pop
39,245673,0,0.705,0.755,1,-4.727,0,0.0656,0.346,0,0.064,0.887,103.92,4,j-pop
38,216680,0,0.471,0.166,3,-14.147,1,0.0457,0.858,0,0.106,0.421,169.298,4,j-pop
59,286186,0,0.297,0.934,7,-2.205,1,0.0787,0.000257,1.69e-06,0.225,0.421,136.254,4,j-pop
53,293824,0,0.473,0.9,11,-3.073,0,0.0511,0.00209,0,0.0948,0.377,186.91,4,j-pop
49,272613,0,0.621,0.717,6,-5.096,0,0.0853,0.384,0,0.193,0.591,146.984,4,j-pop
49,227213,0,0.64,0.939,1,-3.368,0,0.0421,0.068,0,0.0762,0.756,113.985,4,j-pop
29,214320,0,0.492,0.598,10,-4.474,1,0.033,0.366,0,0.323,0.469,77.422,4,j-pop
48,89387,0,0.661,0.706,8,-4.045,1,0.158,0.223,0,0.234,0.435,144.051,4,j-pop
57,213240,0,0.707,0.709,5,-4.293,1,0.033,0.179,0,0.142,0.59,89.989,4,j-pop
61,269746,0,0.773,0.363,4,-7.304,1,0.0383,0.814,0,0.103,0.774,119.994,4,j-pop
52,336619,0,0.223,0.891,1,-3.626,0,0.138,0.325,0,0.287,0.333,159.888,4,j-pop
59,257399,0,0.699,0.913,2,-4.435,1,0.0813,0.0318,2.08e-06,0.0928,0.671,129.036,4,j-pop
36,295700,0,0.687,0.726,11,-6.942,0,0.024,0.27,0.000655,0.117,0.814,98.583,4,j-pop
72,324633,0,0.516,0.791,3,-1.927,1,0.0318,0.00345,0,0.141,0.48,96.921,4,j-pop
55,215040,0,0.372,0.895,1,-4.199,0,0.104,0.00463,6.99e-06,0.094,0.268,127.061,4,j-pop
56,270306,0,0.579,0.952,5,-2.678,0,0.054,0.00459,0,0.113,0.352,94.026,4,j-pop
37,278666,0,0.643,0.741,10,-4.635,1,0.0305,0.395,0,0.0652,0.862,75.994,4,j-pop
62,243813,0,0.679,0.931,1,-3.74,0,0.0474,0.00466,0,0.0652,0.962,121.001,4,j-pop
37,239640,0,0.601,0.988,9,-5.4,0,0.0727,0.146,0,0.0682,0.864,153.966,4,j-pop
37,264076,0,0.69,0.861,9,-5.908,1,0.027,0.057,0.0254,0.0892,0.833,138.335,4,j-pop
64,235666,0,0.521,0.233,7,-13.683,1,0.0254,0.635,0,0.245,0.4,78.93,3,j-pop
36,297693,0,0.589,0.672,1,-5.324,1,0.0275,0.00727,0.314,0.255,0.246,123.936,4,j-pop
37,285800,0,0.385,0.729,2,-7.425,1,0.0454,0.293,0,0.221,0.528,122.289,4,j-pop
0,305973,0,0.484,0.438,7,-8.737,1,0.0238,0.546,0.0159,0.152,0.314,155.975,4,j-pop
37,292546,0,0.568,0.722,7,-3.069,1,0.0425,0.408,0,0.0776,0.594,84.825,4,j-pop
37,309200,0,0.422,0.364,0,-9.854,1,0.0318,0.816,1.59e-05,0.121,0.225,119.653,4,j-pop
37,244400,0,0.562,0.786,2,-3.854,1,0.0303,0.00974,2.14e-05,0.251,0.684,105.997,4,j-pop
38,254226,0,0.776,0.629,8,-7.146,1,0.0342,0.0793,0.0212,0.169,0.773,117.019,4,j-pop
37,239533,0,0.562,0.36,9,-11.11,1,0.0306,0.616,0,0.383,0.393,72.173,4,j-pop
36,184173,0,0.382,0.945,2,-2.897,1,0.067,0.000486,0,0.0481,0.314,154.96,4,j-pop
57,261506,0,0.549,0.139,8,-12.539,1,0.0288,0.946,2.93e-06,0.145,0.34,92.994,4,j-pop
37,271066,0,0.686,0.816,0,-5.22,1,0.0271,0.558,4.74e-06,0.16,0.942,129.975,4,j-pop
37,209536,0,0.576,0.934,1,-3.262,1,0.0505,0.0126,0,0.383,0.593,134.018,4,j-pop
37,282080,0,0.332,0.563,10,-7.375,1,0.0306,0.152,9.31e-06,0.122,0.431,136.614,4,j-pop
37,316800,0,0.552,0.891,0,-3.892,1,0.0342,0.0544,1.19e-06,0.223,0.746,122.971,4,j-pop
37,235533,0,0.638,0.768,9,-5.171,0,0.0286,0.444,6.65e-06,0.241,0.578,99.897,4,j-pop
39,252813,0,0.605,0.216,8,-11.59,0,0.0391,0.907,1.27e-05,0.0956,0.23,119.623,4,j-pop
0,284160,0,0.772,0.675,11,-9.154,0,0.0366,0.124,0.0121,0.102,0.68,126.033,4,j-pop
37,238732,0,0.573,0.697,2,-3.988,1,0.0355,0.0127,0,0.102,0.647,103.982,4,j-pop
36,262360,0,0.51,0.733,6,-5.684,1,0.0336,0.149,0,0.0334,0.308,129.963,4,j-pop
37,182266,0,0.489,0.92,6,-3.257,0,0.11,0.00588,0,0.102,0.54,185.961,4,j-pop
39,222320,0,0.661,0.764,5,-6.572,0,0.0357,0.0613,0,0.261,0.637,114.949,4,j-pop
37,272866,0,0.402,0.888,4,-3.47,1,0.0437,0.000131,1.22e-06,0.0653,0.735,147.868,4,j-pop
59,123360,0,0.416,0.341,9,-10.749,1,0.0391,0.864,0,0.724,0.776,177.229,4,j-pop
72,188066,0,0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783,4,j-pop
38,245344,0,0.824,0.652,0,-7.626,1,0.0498,0.283,0.00055,0.127,0.796,119.968,4,j-pop
38,172013,0,0.481,0.248,9,-11.826,0,0.0311,0.977,4.77e-06,0.102,0.433,75.136,4,j-pop
37,283949,0,0.431,0.467,3,-11.199,1,0.0355,0.579,0,0.124,0.341,149.926,3,j-pop
38,209789,0,0.489,0.414,9,-10.871,0,0.0297,0.799,3.11e-06,0.228,0.35,151.159,4,j-pop
38,107325,0,0.483,0.18,3,-9.416,0,0.0292,0.907,0,0.102,0.15,84.99,4,j-pop
38,148626,0,0.648,0.916,2,-3.144,1,0.0278,0.26,0,0.253,0.892,126.533,4,j-pop
39,231893,0,0.621,0.719,6,-7.509,0,0.031,0.554,0,0.259,0.78,140.228,4,j-pop
55,255533,0,0.585,0.795,1,-4.905,0,0.0293,0.0286,0,0.122,0.666,94.964,4,j-pop
45,216860,0,0.403,0.929,11,-3.526,1,0.0592,0.0644,0.0219,0.294,0.518,100.069,4,j-pop
73,193990,0,0.628,0.533,0,-7.235,1,0.0417,0.643,0,0.0733,0.459,79.953,4,j-pop
54,182093,0,0.716,0.768,6,-4.452,0,0.1,0.0746,0,0.204,0.826,93.006,4,j-pop
43,274560,0,0.543,0.632,11,-5.515,1,0.0304,0.383,0,0.093,0.384,79.004,4,j-pop
64,192177,0,0.631,0.696,0,-5.631,0,0.211,0.578,0,0.0784,0.927,173.537,4,j-pop
60,146588,0,0.872,0.814,4,-4.875,1,0.215,0.0483,2.22e-05,0.0403,0.829,124.92,4,j-pop
60,217429,0,0.72,0.926,8,-5.027,1,0.0297,0.309,0,0.0761,0.846,104.997,4,j-pop
56,183949,0,0.74,0.934,7,-2.15,0,0.164,0.00207,0.0964,0.323,0.617,128.096,4,j-pop
67,206639,0,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,3,j-pop
55,332240,0,0.464,0.868,6,-5.051,0,0.0502,0.000249,0.00042,0.248,0.512,155.008,4,j-pop
50,255013,0,0.473,0.431,2,-8.172,1,0.0305,0.493,0,0.0752,0.283,143.862,4,j-pop
49,247384,0,0.793,0.809,11,-4.267,0,0.0408,0.0251,0.000336,0.352,0.158,130.003,4,j-pop
70,263333,0,0.5,0.681,0,-9.556,1,0.0672,0.114,4.01e-05,0.139,0.745,119.46,4,j-pop
56,239078,0,0.566,0.743,0,-5.377,1,0.0361,0.0265,0,0.329,0.649,94.973,4,j-pop
51,206213,0,0.47,0.932,7,-3.202,1,0.174,0.0182,0,0.464,0.584,164.981,4,j-pop
56,209226,0,0.472,0.929,7,-3.162,1,0.156,0.0197,0,0.345,0.481,165.104,4,j-pop
45,255633,0,0.598,0.611,11,-5.116,1,0.0227,0.231,0,0.152,0.452,82.98,3,j-pop
53,191052,0,0.444,0.836,6,-4.183,1,0.106,0.205,0.000937,0.097,0.272,151.985,4,j-pop
59,258693,0,0.482,0.97,2,-3.131,0,0.193,0.005,0,0.233,0.441,92.513,4,j-pop
56,140487,0,0.685,0.739,7,-4.298,0,0.0895,0.0199,0,0.0882,0.791,123.034,4,j-pop
47,268160,0,0.493,0.117,8,-22.655,0,0.0299,0.926,0.00522,0.109,0.243,103.712,4,j-pop
63,204706,0,0.724,0.891,11,-7.818,1,0.0995,0.00344,4.72e-05,0.3,0.818,103.022,4,j-pop
36,254333,0,0.56,0.539,7,-10.145,1,0.0283,0.117,0.00271,0.686,0.445,149.812,4,j-pop
46,184173,0,0.685,0.571,2,-11.623,1,0.0299,0.335,2.38e-06,0.214,0.869,121.737,4,j-pop
36,339493,0,0.553,0.546,7,-5.306,1,0.0263,0.0825,1.55e-05,0.0764,0.438,138.006,4,j-pop
72,307066,0,0.502,0.632,0,-4.612,1,0.0273,0.447,0,0.103,0.308,152.014,4,j-pop
37,233653,1,0.651,0.756,3,-3.485,0,0.0281,0.0107,0,0.201,0.402,97.964,4,j-pop
38,195026,0,0.406,0.232,7,-19.399,0,0.051,0.853,0.000877,0.194,0.454,138.129,3,j-pop
37,265853,0,0.626,0.961,3,-1.34,0,0.104,0.328,0,0.33,0.758,132.021,4,j-pop
37,372000,0,0.647,0.914,11,-7.097,0,0.0676,0.199,0.00018,0.528,0.619,122.083,4,j-pop
38,291306,0,0.705,0.871,0,-3.839,0,0.0537,0.0132,5.6e-06,0.0919,0.918,117.983,4,j-pop
36,239880,0,0.618,0.935,0,-3.882,1,0.0614,0.00667,4.79e-05,0.254,0.668,115.043,4,j-pop
36,270773,0,0.485,0.734,2,-4.799,1,0.0388,0.54,0.000479,0.0822,0.505,166.128,4,j-pop
0,311666,0,0.659,0.658,6,-7.728,1,0.042,0.418,0.0187,0.104,0.733,91.992,4,j-pop
36,254426,0,0.597,0.952,7,-5.091,0,0.0462,0.0934,0,0.276,0.899,94.909,4,j-pop
37,265560,0,0.481,0.538,7,-5.182,1,0.0307,0.354,0,0.287,0.364,76.85,4,j-pop
36,360626,0,0.639,0.784,2,-6.524,1,0.0284,0.0151,0.352,0.198,0.694,120.161,4,j-pop
37,367506,0,0.484,0.618,7,-5.623,1,0.0246,0.166,0.00025,0.11,0.464,166.008,4,j-pop
36,262600,0,0.632,0.964,8,-5.956,0,0.0529,0.00607,0.00154,0.0461,0.783,134.982,4,j-pop
37,287440,0,0.573,0.795,4,-3.625,1,0.0261,0.077,0,0.18,0.434,89.032,4,j-pop
37,256387,0,0.486,0.35,8,-7.873,1,0.0776,0.148,3.28e-05,0.0696,0.124,195.72,4,j-pop
38,240933,0,0.562,0.751,5,-6.478,1,0.0315,0.136,1.45e-06,0.0895,0.341,67.006,4,j-pop
37,279986,0,0.63,0.992,9,-2.316,1,0.104,0.0775,5.22e-06,0.102,0.671,128.036,4,j-pop
38,300720,0,0.558,0.723,7,-6.363,1,0.0294,0.213,0.00637,0.06,0.7,77.993,4,j-pop
38,424029,0,0.657,0.134,0,-13.431,1,0.0357,0.986,0,0.114,0.119,117.838,4,j-pop
37,172506,0,0.403,0.97,1,-1.233,1,0.147,0.00738,0.00101,0.32,0.658,189.913,4,j-pop
38,487866,0,0.275,0.491,4,-6.95,0,0.0375,0.891,0.0149,0.295,0.32,158.676,4,j-pop
38,235827,0,0.561,0.456,7,-9.374,1,0.0281,0.416,0,0.0858,0.692,97.083,4,j-pop
38,131889,0,0.536,0.237,0,-10.133,1,0.0305,0.976,0.000142,0.0981,0.107,78.048,3,j-pop
51,235306,0,0.539,0.762,9,-6.525,0,0.0288,0.000867,0.455,0.133,0.682,100.022,4,j-pop
61,229333,0,0.589,0.527,4,-8.332,1,0.0572,0.0932,0.000337,0.104,0.576,138.023,4,j-pop
55,224626,0,0.502,0.953,2,-1.419,1,0.063,0.00831,0,0.432,0.695,167.908,4,j-pop
54,223741,0,0.568,0.727,1,-5.415,1,0.0542,0.0343,0,0.197,0.797,162.811,4,j-pop
49,263893,0,0.632,0.736,11,-3.54,1,0.0503,0.0537,0,0.137,0.763,133.06,4,j-pop
54,196306,0,0.625,0.94,1,-0.643,0,0.142,0.138,0,0.227,0.783,137.02,4,j-pop
56,248906,0,0.388,0.894,0,-3.425,1,0.0455,0.000808,0,0.199,0.724,156.12,4,j-pop
58,198040,0,0.309,0.941,0,-3.558,0,0.0763,0.0587,0,0.435,0.704,100.02,4,j-pop
71,248946,0,0.606,0.579,5,-5.582,1,0.033,0.512,0,0.381,0.661,149.988,4,j-pop
45,184960,0,0.617,0.184,9,-13.196,0,0.0437,0.873,0.286,0.0566,0.221,141.967,4,j-pop
55,339720,0,0.647,0.864,5,-5.19,0,0.0296,0.00536,0,0.403,0.767,125.095,4,j-pop
50,274893,0,0.502,0.83,9,-4.849,1,0.0554,0.00982,5.48e-05,0.0728,0.545,170.03,4,j-pop
50,308066,0,0.481,0.933,8,-5.447,1,0.0445,0.00505,3.25e-06,0.044,0.502,140.061,4,j-pop
54,255080,0,0.472,0.994,8,-1.786,1,0.114,0.0259,0,0.0535,0.262,103.512,4,j-pop
36,330013,0,0.546,0.485,6,-6.313,0,0.0243,0.5,0,0.148,0.425,81.522,4,j-pop
62,332186,0,0.522,0.597,4,-4.883,1,0.0295,0.345,0,0.103,0.387,80.952,4,j-pop
50,243233,0,0.596,0.916,11,-3.378,0,0.105,0.0242,0,0.0786,0.407,103.047,4,j-pop
36,247293,0,0.55,0.957,9,-4.591,1,0.0652,0.129,0,0.346,0.656,173.9,4,j-pop
53,223013,0,0.666,0.481,0,-6.612,1,0.0599,0.136,0,0.274,0.336,75.021,4,j-pop
36,225500,0,0.561,0.427,7,-9.38,1,0.0387,0.109,0,0.327,0.449,76.988,4,j-pop
55,249227,0,0.378,0.726,6,-6.302,0,0.0663,0.00479,0.000107,0.357,0.108,159.898,4,j-pop
36,215562,0,0.457,0.814,7,-4.431,1,0.0528,0.053,0,0.341,0.514,158.077,4,j-pop
71,219600,0,0.372,0.322,7,-9.831,1,0.0398,0.851,1.02e-06,0.108,0.152,85.064,4,j-pop
36,290160,0,0.708,0.714,11,-10.219,1,0.0354,0.206,0.00102,0.332,0.585,104.185,4,j-pop
36,354066,0,0.492,0.733,6,-4.673,0,0.0303,0.196,0.00461,0.409,0.489,123.964,4,j-pop
36,250440,0,0.465,0.988,2,-2.888,1,0.074,0.00504,0.00166,0.313,0.665,171.981,4,j-pop
57,255293,0,0.424,0.899,11,-3.937,0,0.0572,0.0034,8.1e-05,0.223,0.74,171.832,4,j-pop
63,182666,0,0.693,0.257,6,-7.785,1,0.0356,0.869,0,0.11,0.603,90.012,4,j-pop
36,239800,0,0.64,0.844,9,-5.331,1,0.124,0.201,0,0.0784,0.345,83.951,4,j-pop
36,268013,0,0.535,0.967,7,-4.333,0,0.0528,0.00711,1.31e-06,0.288,0.422,118.001,4,j-pop
37,324920,0,0.66,0.468,1,-11.302,1,0.0276,0.857,0.00576,0.235,0.521,136.004,4,j-pop
36,399400,0,0.536,0.959,7,-5.31,1,0.0415,0.0136,5.96e-06,0.333,0.697,133.982,4,j-pop
57,197626,0,0.415,0.22,8,-17.47,1,0.0261,0.878,0.651,0.125,0.268,90.267,4,j-pop
38,273000,0,0.371,0.462,7,-11.096,0,0.0583,0.377,0,0.26,0.462,135.872,3,j-pop
36,275666,0,0.607,0.859,2,-4.965,0,0.0399,0.0892,0,0.0629,0.456,120.001,4,j-pop
36,274166,0,0.593,0.893,4,-3.507,0,0.032,0.0334,0,0.206,0.801,112.042,4,j-pop
36,216533,0,0.366,0.97,1,-3.698,1,0.132,0.0107,0,0.427,0.682,196.863,4,j-pop
37,323186,0,0.424,0.956,11,-2.884,1,0.0966,0.0257,8.58e-05,0.378,0.605,173.948,4,j-pop
36,252413,0,0.677,0.879,8,-5.342,0,0.0436,0.222,0,0.385,0.797,132.857,4,j-pop
36,237226,0,0.677,0.91,7,-1.755,1,0.0335,0.171,0,0.11,0.938,107.025,4,j-pop
36,142000,0,0.529,0.85,7,-4.658,1,0.0426,0.0116,0,0.681,0.965,199.824,4,j-pop
37,263826,0,0.513,0.918,1,-2.792,0,0.0626,0.0455,0,0.0654,0.814,157.94,4,j-pop
36,308240,0,0.627,0.519,9,-7.983,0,0.0256,0.0722,0,0.179,0.216,108.976,4,j-pop
38,222733,0,0.461,0.39,7,-10.973,0,0.0385,0.577,7.04e-06,0.12,0.498,172.044,4,j-pop
36,182506,0,0.583,0.887,9,-3.782,1,0.0396,0.0261,0,0.177,0.432,150.12,4,j-pop
37,337544,0,0.48,0.58,5,-4.978,1,0.0289,0.102,8.04e-06,0.144,0.264,78.932,4,j-pop
36,274466,0,0.409,0.946,4,-4.304,1,0.0576,0.0136,0,0.376,0.734,157.859,4,j-pop
37,245585,0,0.656,0.797,5,-5.863,1,0.0373,0.0207,2.79e-06,0.0605,0.397,96.041,4,j-pop
37,79066,0,0.833,0.528,8,-9.582,1,0.238,0.893,0,0.604,0.87,133.742,4,j-pop
38,187959,0,0.454,0.621,3,-6.782,0,0.0816,0.49,1.15e-05,0.131,0.877,195.995,4,j-pop
54,197040,0,0.466,0.897,9,-2.989,1,0.0403,0.000206,0.253,0.351,0.802,159.988,4,j-pop
57,216959,0,0.591,0.665,6,-6.525,0,0.153,0.14,0.00103,0.382,0.694,118.195,4,j-pop
44,447306,0,0.588,0.604,9,-7.602,1,0.024,0.343,6.86e-05,0.252,0.351,92.02,4,j-pop
44,338960,0,0.543,0.728,4,-5.403,1,0.0292,0.0154,1.42e-05,0.136,0.257,132.001,4,j-pop
48,238666,0,0.63,0.538,6,-7.059,1,0.0318,0.0871,0,0.0952,0.238,98.012,4,j-pop
50,287384,0,0.564,0.688,5,-3.805,1,0.055,0.254,0,0.322,0.448,156.08,4,j-pop
50,249200,0,0.437,0.961,11,-1.91,1,0.125,0.0599,0,0.367,0.619,161.968,4,j-pop
52,201626,0,0.698,0.795,10,-4.516,0,0.0337,0.175,0.000752,0.158,0.356,99.987,4,j-pop
65,166966,0,0.78,0.814,7,-3.617,1,0.0291,0.0432,8.28e-05,0.168,0.59,108.025,4,j-pop
53,272773,0,0.559,0.936,6,-3.749,1,0.0874,0.0139,0,0.33,0.717,92.024,4,j-pop
61,277026,0,0.564,0.564,9,-6.752,1,0.0792,0.126,3.01e-06,0.0787,0.714,172.025,4,j-pop
53,232906,0,0.498,0.879,1,-4.3,1,0.057,0.0216,0,0.112,0.64,90.495,4,j-pop
36,252502,0,0.466,0.926,7,-4.457,1,0.114,0.194,0,0.0837,0.509,98.049,4,j-pop
36,241800,0,0.599,0.623,7,-7.791,1,0.0241,0.732,0.00317,0.101,0.556,99.822,4,j-pop
67,278973,0,0.53,0.59,11,-9.169,1,0.025,0.183,0.00227,0.0675,0.43,144.202,4,j-pop
35,245240,0,0.652,0.862,0,-3.607,1,0.0344,0.0951,1.77e-05,0.195,0.723,124.96,4,j-pop
58,281906,0,0.702,0.614,8,-4.93,1,0.028,0.103,0,0.231,0.507,104.022,4,j-pop
66,264533,0,0.633,0.723,8,-5.733,0,0.143,0.107,0,0.0818,0.688,103.101,4,j-pop
59,197995,0,0.503,0.849,5,-2.709,1,0.0615,0.00428,0,0.0667,0.762,165.096,4,j-pop
36,257306,0,0.695,0.572,0,-5.743,1,0.0328,0.146,0,0.13,0.231,120.957,4,j-pop
35,311333,0,0.355,0.775,9,-5.956,0,0.0935,0.184,0,0.0674,0.448,90.458,4,j-pop
57,218613,0,0.745,0.45,4,-9.121,1,0.0354,0.288,0,0.0538,0.807,133.952,4,j-pop
37,229866,0,0.647,0.857,0,-2.082,1,0.0527,0.313,0,0.2,0.534,130.001,4,j-pop
36,290066,0,0.729,0.78,9,-4.348,1,0.0305,0.0336,0.00331,0.319,0.816,115.99,4,j-pop
36,335533,0,0.581,0.564,7,-8.388,0,0.0335,0.19,3.83e-06,0.331,0.634,141.609,4,j-pop
36,269482,0,0.719,0.517,5,-8.023,1,0.0269,0.243,1.37e-06,0.172,0.622,111.217,4,j-pop
37,287000,0,0.602,0.777,8,-2.22,1,0.028,0.0408,0,0.0836,0.584,129.995,4,j-pop
36,259680,0,0.361,0.69,7,-5.451,1,0.0797,0.485,0.000297,0.117,0.328,202.086,4,j-pop
36,231599,0,0.59,0.589,2,-4.245,1,0.0309,0.00209,0,0.0715,0.534,125.092,4,j-pop
36,226173,0,0.549,0.947,4,-3.598,0,0.152,0.000337,0,0.252,0.592,97.484,4,j-pop
35,228533,0,0.467,0.859,4,-4.866,0,0.0348,0.000837,0,0.341,0.663,128.176,4,j-pop
37,297880,0,0.553,0.89,10,-3.472,1,0.0437,0.389,0,0.315,0.513,141.999,4,j-pop
36,223919,0,0.623,0.66,7,-5.299,1,0.0275,0.0513,0,0.0949,0.602,94.953,4,j-pop
36,278120,0,0.367,0.648,0,-6.683,1,0.0719,0.321,0,0.104,0.382,152.059,4,j-pop
36,288933,0,0.523,0.934,2,-2.362,0,0.104,0.0238,0,0.207,0.726,145.947,4,j-pop
37,301773,0,0.642,0.97,3,-3.57,1,0.0698,0.215,0,0.259,0.553,138.971,4,j-pop
35,271640,0,0.664,0.881,7,-8.956,1,0.0405,0.0219,3.82e-06,0.141,0.923,113.006,4,j-pop
58,194695,1,0.569,0.917,10,-4.538,1,0.0575,0.00458,0,0.221,0.582,133.965,4,j-pop
35,296293,0,0.787,0.812,2,-5.027,1,0.038,0.0122,0,0.0768,0.529,119.625,4,j-pop
36,252666,0,0.677,0.912,11,-3.592,0,0.0361,0.216,0,0.16,0.614,107.977,4,j-pop
37,326724,0,0.679,0.488,5,-10.357,0,0.0313,0.432,0.0557,0.191,0.792,125.948,4,j-pop
38,181800,0,0.624,0.296,0,-17.159,1,0.0585,0.93,0.108,0.128,0.854,100.481,4,j-pop
36,256213,0,0.233,0.962,9,-2.955,0,0.0825,0.00852,0.000232,0.507,0.405,162.823,4,j-pop
38,285752,0,0.391,0.721,2,-7.223,1,0.0473,0.333,5.39e-05,0.121,0.478,173.837,4,j-pop
37,197600,0,0.326,0.789,10,-5.472,0,0.0982,0.129,0,0.116,0.684,202.34,4,j-pop
37,209760,0,0.491,0.411,9,-10.841,0,0.03,0.791,2.04e-06,0.259,0.351,151.158,4,j-pop
37,212069,0,0.636,0.599,0,-9.378,1,0.0282,0.00885,0.933,0.14,0.653,101.615,4,j-pop
37,240746,0,0.517,0.603,2,-9.778,1,0.0467,0.26,0.000434,0.124,0.477,161.741,4,j-pop
38,273200,0,0.51,0.651,7,-8.651,1,0.0348,0.553,2.28e-06,0.107,0.596,124.984,4,j-pop
0,189840,0,0.564,0.913,9,-3.65,1,0.182,0.505,7.15e-06,0.221,0.962,144.967,4,j-pop
47,304320,0,0.363,0.819,7,-3.128,1,0.0634,0.0591,0,0.0988,0.468,122.527,4,j-pop
49,217226,0,0.315,0.907,8,-4.07,1,0.0575,0.00029,0.00255,0.184,0.332,179.036,4,j-pop
61,243613,0,0.712,0.817,1,-5.123,1,0.0279,0.0717,7.21e-06,0.146,0.679,100.016,4,j-pop
58,188946,0,0.506,0.861,0,-5.899,1,0.15,0.0615,1.89e-05,0.387,0.647,175.966,4,j-pop
53,253893,0,0.449,0.693,5,-4.592,1,0.0351,0.0165,0,0.302,0.423,107.997,4,j-pop
73,254160,0,0.495,0.71,10,-3.965,1,0.0606,0.00947,0,0.0577,0.609,147.955,4,j-pop
51,235013,0,0.437,0.869,1,-2.114,1,0.0566,0.000442,0.00137,0.356,0.588,126.038,4,j-pop
52,277280,0,0.459,0.872,4,-0.987,1,0.053,0.0505,0,0.166,0.579,82.61,4,j-pop
62,258733,0,0.548,0.6,5,-5.049,1,0.0297,0.071,0,0.192,0.296,143.961,4,j-pop
50,205253,0,0.727,0.563,7,-6.613,1,0.0272,0.0374,6.43e-05,0.311,0.588,99.035,4,j-pop
59,208093,0,0.743,0.718,10,-3.766,0,0.0336,0.201,0,0.319,0.897,136.979,4,j-pop
59,219643,0,0.71,0.718,11,-6.379,1,0.0257,0.0483,3.26e-06,0.0881,0.813,109.054,4,j-pop
66,248300,0,0.698,0.382,1,-8.016,1,0.0491,0.629,1.12e-06,0.0997,0.672,169.937,4,j-pop
35,354213,0,0.522,0.498,7,-7.247,1,0.0257,0.0758,1.51e-06,0.25,0.221,145.908,4,j-pop
47,232800,0,0.573,0.769,2,-7.784,1,0.0736,0.0316,0,0.187,0.556,111.98,4,j-pop
62,243613,0,0.712,0.817,1,-5.123,1,0.0279,0.0717,7.21e-06,0.146,0.679,100.016,4,j-pop
35,214133,0,0.504,0.907,7,-4.134,0,0.26,0.0246,0,0.215,0.784,151.898,4,j-pop
35,249306,0,0.499,0.506,0,-6.019,1,0.0306,0.331,0,0.111,0.282,129.926,4,j-pop
36,235223,0,0.418,0.965,10,-4.033,0,0.102,2.6e-05,0.000236,0.083,0.76,106.37,4,j-pop
35,226216,0,0.655,0.734,3,-7.488,0,0.0342,0.0818,2.12e-06,0.105,0.69,108.001,4,j-pop
35,190360,0,0.605,0.941,0,-3.391,1,0.0869,0.136,0,0.391,0.612,159.932,4,j-pop
36,347864,0,0.641,0.382,3,-7.272,1,0.0286,0.794,0.00508,0.0865,0.216,128.078,4,j-pop
35,260403,0,0.493,0.776,0,-5.143,1,0.0289,0.00027,0.00108,0.361,0.529,78.049,4,j-pop
36,248780,0,0.81,0.697,4,-7.076,1,0.0814,0.287,0.000465,0.0808,0.938,82.035,4,j-pop
35,294840,0,0.527,0.558,7,-7.185,1,0.0286,0.0776,0,0.0917,0.311,139.936,4,j-pop
35,229106,0,0.584,0.965,2,-3.979,1,0.0802,0.0537,0,0.331,0.564,134.944,4,j-pop
64,202640,0,0.798,0.234,2,-10.699,1,0.0317,0.875,0.000626,0.134,0.403,103.152,4,j-pop
36,283493,0,0.667,0.83,3,-5.173,1,0.0492,0.229,0,0.0873,0.691,96.026,4,j-pop
35,236146,0,0.555,0.935,4,-5.294,1,0.112,0.0114,0.00176,0.214,0.376,99.475,4,j-pop
36,246146,0,0.711,0.687,5,-5.498,1,0.027,0.351,0,0.288,0.318,110.981,4,j-pop
35,262320,0,0.711,0.928,9,-4.791,0,0.0409,0.179,0,0.331,0.775,126.032,4,j-pop
36,268560,0,0.454,0.892,8,-2.908,1,0.0624,0.0628,0,0.333,0.604,147.969,4,j-pop
35,314000,0,0.525,0.603,2,-7.399,1,0.0249,0.324,0.000238,0.12,0.507,89.868,4,j-pop
37,225960,0,0.387,0.843,8,-3.44,1,0.0523,0.00287,0,0.367,0.625,185.682,4,j-pop
36,251493,0,0.5,0.943,6,-3.204,1,0.0472,0.0292,0,0.0349,0.563,163.998,4,j-pop
36,174040,0,0.483,0.146,3,-13.221,1,0.0329,0.853,8.51e-05,0.151,0.288,82.335,3,j-pop
37,264226,0,0.664,0.499,5,-12.929,0,0.0298,0.0589,0.000826,0.103,0.194,110.153,4,j-pop
37,218333,0,0.615,0.772,11,-10.51,1,0.0325,0.0542,0.000156,0.0586,0.937,132.646,4,j-pop
37,245706,0,0.453,0.482,7,-7.522,0,0.0417,0.786,2.64e-06,0.222,0.365,133.535,4,j-pop
0,101826,0,0.451,0.566,6,-10.766,1,0.0382,0.697,0,0.119,0.847,98.439,1,j-pop
37,273573,0,0.347,0.515,5,-6.115,1,0.0279,0.555,0,0.139,0.278,125.927,4,j-pop
